source,target,category,color
Jason Avanceña,De La Salle University,Bachelor Institute,#1f77b4
Jason Avanceña,Gabelli School Of Business,Masters Institute,#2ca02c
Zulfiqar Ali Lakhani,Stanford University,Bachelor Institute,#1f77b4
Zulfiqar Ali Lakhani,Wharton School Of The University Of Pennsylvania,Masters Institute,#2ca02c
Fawad Ahmed Mukhtar,University Of Pennsylvania,Bachelor Institute,#1f77b4
Ali Rathore,London Metropolitan University,Bachelor Institute,#1f77b4
Ali Rathore,Kellogg School Of Management,Masters Institute,#2ca02c
Ali Rathore,Institute Of Chartered Accountants In England And Wales,Professional Qualifications,#9467bd
Abdul Samad Dawood,University College London,Bachelor Institute,#1f77b4
Kamran Kamal,Georgia Institute Of Technology,Bachelor Institute,#1f77b4
Kamran Kamal,Harvard University,Masters Institute,#2ca02c
Rehan Shaikh,Upsala College,Bachelor Institute,#1f77b4
Asif Peer,National University Of Computer And Emerging Sciences,Bachelor Institute,#1f77b4
Asif Peer,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Aizid Razzaq Gill,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Aizid Razzaq Gill,California State University,Masters Institute,#2ca02c
Syed Muhammad Taha,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Syed Moonis Abdullah Alvi,Federal Government Cantt Public School,Bachelor Institute,#1f77b4
Hatem Bamatraf,Etisalat University College,Bachelor Institute,#1f77b4
Hatem Bamatraf,Insead,Masters Institute,#2ca02c
Amir R. Paracha,Karachi University,Bachelor Institute,#1f77b4
Amir R. Paracha,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Shuaib Anwar Malik,Punjab University,Bachelor Institute,#1f77b4
Atif Aslam Bajwa,Columbia University,Bachelor Institute,#1f77b4
Saquib H. Shirazi,Wharton School Of The University Of Pennsylvania,Bachelor Institute,#1f77b4
Saquib H. Shirazi,Harvard University,Masters Institute,#2ca02c
Ali Asghar Jamali,Karachi University,Bachelor Institute,#1f77b4
Ali Asghar Jamali,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Asad Rasool,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Asad Rasool,University Of New South Wales,Masters Institute,#2ca02c
Asad Rasool,Chartered Accountants Australia And New Zealand,Professional Qualifications,#9467bd
Asif Jooma,Boston University,Bachelor Institute,#1f77b4
Qamar Manzoor,Dawood University Of Engineering And Technology,Bachelor Institute,#1f77b4
Qamar Manzoor,University Of Tennessee,Masters Institute,#2ca02c
Mr. Munsarim Saifullah,Ned University Of Engineering And Technology,Bachelor Institute,#1f77b4
Yousaf Hussain,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Yousaf Hussain,Lahore University Of Management Sciences,Masters Institute,#2ca02c
Zia Ijaz,Federal College Of Commerce,Bachelor Institute,#1f77b4
Zia Ijaz,American Institute Of Certified Public Accountants,Professional Qualifications,#9467bd
Zia Ijaz,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Erum Shakir Rahim,Karachi University,Bachelor Institute,#1f77b4
Erum Shakir Rahim,Karachi University,Masters Institute,#2ca02c
Khurram Shahzad Khan,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Khurram Shahzad Khan,University Of Rochester,Masters Institute,#2ca02c
Syed Anis Ahmed,Institute Of Chartered Accountants Of Pakistan,Professional Qualifications,#9467bd
Zafar Masud,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Qawi Naseer,Institute Of Business Administration Karachi,Masters Institute,#2ca02c
Sayeed Tariq Saigol,Government College,Bachelor Institute,#1f77b4
Sayeed Tariq Saigol,Punjab University,Bachelor Institute,#1f77b4
Raza Mansha,University Of Pennsylvania,Bachelor Institute,#1f77b4
Raheel Asghar,University Of Cambridge,Bachelor Institute,#1f77b4
Navid Fazil,University Of Engineering And Technology,Bachelor Institute,#1f77b4
Navid Fazil,University Of Oxford,Masters Institute,#2ca02c
